questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"A junior developer is assigned various tasks for a new company website. They need to determine which technology (HTML, CSS, or JavaScript) is appropriate for each task.

Review the following tasks and select all that are correctly matched to their technology:",,,,,,,,"HTML — ""Add a navigation bar with links to Home, About, and Contact pages""","CSS — ""Make the page title red and increase its font size to 48 pixels""","JavaScript — ""Add a paragraph of text describing the company history""","HTML — ""Show a popup message when the user clicks the Subscribe button""",,,,markdown,"**Option A — Correct:** `.classname { }` is the correct CSS syntax. The `.` prefix is what tells the browser ""look for elements with this value in their `class` attribute.""

**Option B — Incorrect:** Classes do NOT have a uniqueness requirement. Any number of elements on a page can share the same class value. This is the entire point — classes enable styling a group of elements with one rule.

**Option C — Correct:** Classes are tag-agnostic. A class like `.highlight` can be applied to a `<p>`, a `<div>`, a `<span>`, an `<li>`, or any other HTML element. The same CSS rule applies to all of them.

**Option D — Correct:** This is the primary use case for class selectors — creating a named, reusable style that can be applied to any group of elements that should share that visual appearance.

**Option E — Incorrect:** An element can have multiple classes. They are listed in the `class` attribute separated by spaces: `class=""task task-high featured""`. Each class in the list is applied independently.

**Option F — Correct:** In HTML, `class=""class-name""` is how you assign a class to an element. The CSS selector `.class-name { }` matches elements where `class-name` is present in the `class` attribute.

**Correct Answers: A, C, D, F**"
subjective,markdown,"# Q2: Building the HTML Structure for a Profile Card

## Problem Description

Create the HTML structure (content only, no styling) for a user profile card. This practices the HTML role: defining what elements exist on the page.

## Requirements

Create HTML that includes:
1. A heading with the user's name: `Priya Sharma`
2. A paragraph with their role: `Full Stack Developer`
3. A paragraph with their location: `Bangalore, India`
4. A paragraph with their bio: `Passionate about building accessible web applications.`
5. A button with the text: `View Portfolio`
6. A hyperlink with text `Connect on LinkedIn` pointing to `https://linkedin.com`

Note: Do not add any CSS styling. Focus only on the HTML structure.

## Expected Output

When rendered in a browser (with browser default styling), the page should show:
- A bold heading ""Priya Sharma""
- ""Full Stack Developer"" as a paragraph
- ""Bangalore, India"" as a paragraph
- The bio text as a paragraph
- A clickable button labeled ""View Portfolio""
- A hyperlink labeled ""Connect on LinkedIn""

## Difficulty
Medium

## Category
Implementation

## Type
Coding",,,,,,,,,,,,,,,markdown,"Use `.task { }` for shared layout properties, then write separate rules for `.task-high`, `.task-medium`, and `.task-low` for the distinct border and background colors."
subjective,markdown,"A web developer says: ""I need to make the navigation menu slide down smoothly when the user hovers over it."" Which technology is primarily responsible for implementing this behavior?",,,,,,,,"HTML, because navigation menus are defined in HTML","CSS, because hover effects are CSS transitions","JavaScript, because smooth sliding requires programming logic","Both CSS and JavaScript can achieve this, but neither HTML",,,,markdown,"**Why A (`#`) is wrong:** The `#` prefix is used for ID selectors. `#hero { }` targets the element with `id=""hero""`. The `id` must be unique; the `#` selector is its counterpart in CSS.

**Why B (`@`) is wrong:** The `@` symbol is reserved for CSS at-rules: `@media`, `@import`, `@keyframes`, `@font-face`, etc. These are not selectors — they are directives that configure CSS behavior.

**Why C (`.`) is correct:** The dot is the class selector prefix. `.highlight { }` targets every element with `class=""highlight""` (or any element where `highlight` is one of the classes in the `class` attribute). This is the most commonly used selector type in practical CSS.

**Why D (`~`) is wrong:** The tilde (`~`) is used in CSS as the general sibling combinator, which selects elements that share the same parent and follow a specified element. It is a combinator, not a prefix for attribute-based selectors.

**Memory tip:** Class = `.` Think of ""dot com"" — `.com` is a domain. A class is like a category or domain that many elements can belong to."
subjective,markdown,"# Q2: Create a Complete Valid HTML Document

## Problem Description

Create a complete, valid HTML5 document for a simple ""About Me"" page.

## Requirements

The document must include:
1. The DOCTYPE declaration
2. An `<html>` element with `lang=""en""`
3. A `<head>` section containing:
   - A charset meta tag (`UTF-8`)
   - A viewport meta tag
   - A `<title>` with text: `About Me — Arjun Patel`
4. A `<body>` section containing:
   - An `<h1>` heading: `Hi, I'm Arjun Patel`
   - A `<p>`: `I am a second-year computer science student passionate about web development.`
   - A `<p>`: `I enjoy building projects and learning new technologies.`
   - An `<a>` link with text `View My Projects` pointing to `projects.html`

## Expected Output

A browser tab showing ""About Me — Arjun Patel"" as the tab title, and the page displaying the heading, two paragraphs, and a link.

## Difficulty
Medium

## Category
Implementation

## Type
Coding",,,,,,,,,,,,,,,markdown,"Use `.task { }` for shared layout properties, then write separate rules for `.task-high`, `.task-medium`, and `.task-low` for the distinct border and background colors."
subjective,markdown,"# Q3: Evaluating HTML Document Structures

## Problem Description / Scenario

Four students submit HTML documents for review. A validator checks them for correctness. Select all documents that are correctly structured valid HTML5 documents.

## Options

A)
```html
<html lang=""en"">
  <head>
    <title>My Page</title>
  </head>
  <body>
    <h1>Hello</h1>
  </body>
</html>
```

B)
```html
<!DOCTYPE html>
<html lang=""en"">
  <head>
    <meta charset=""UTF-8"">
    <title>My Page</title>
  </head>
  <body>
    <h1>Hello World</h1>
  </body>
</html>
```

C)
```html
<!DOCTYPE html>
<html lang=""en"">
  <body>
    <h1>Welcome</h1>
  </body>
  <head>
    <title>My Page</title>
  </head>
</html>
```

D)
```html
<!DOCTYPE html>
<html lang=""en"">
  <head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Portfolio</title>
  </head>
  <body>
    <h1>My Portfolio</h1>
    <p>Welcome to my page.</p>
  </body>
</html>
```

## Correct Answers

**B and D**

## Difficulty
Medium

## Category
Application

## Type
MSQ",,,,,,,,,,,,,,,markdown,"**Option A — Correct:** `.classname { }` is the correct CSS syntax. The `.` prefix is what tells the browser ""look for elements with this value in their `class` attribute.""

**Option B — Incorrect:** Classes do NOT have a uniqueness requirement. Any number of elements on a page can share the same class value. This is the entire point — classes enable styling a group of elements with one rule.

**Option C — Correct:** Classes are tag-agnostic. A class like `.highlight` can be applied to a `<p>`, a `<div>`, a `<span>`, an `<li>`, or any other HTML element. The same CSS rule applies to all of them.

**Option D — Correct:** This is the primary use case for class selectors — creating a named, reusable style that can be applied to any group of elements that should share that visual appearance.

**Option E — Incorrect:** An element can have multiple classes. They are listed in the `class` attribute separated by spaces: `class=""task task-high featured""`. Each class in the list is applied independently.

**Option F — Correct:** In HTML, `class=""class-name""` is how you assign a class to an element. The CSS selector `.class-name { }` matches elements where `class-name` is present in the `class` attribute.

**Correct Answers: A, C, D, F**"
subjective,markdown,Which of the following correctly describes the purpose of the `<head>` element in an HTML document?,,,,,,,,It displays a large heading at the top of the visible page,It contains metadata about the page that is not displayed to users,"It is an alternative way to write `<header>`, a visible page header","It stores the page's CSS and JavaScript only, not HTML content",,,,markdown,"**Why A (`#`) is wrong:** The `#` prefix is used for ID selectors. `#hero { }` targets the element with `id=""hero""`. The `id` must be unique; the `#` selector is its counterpart in CSS.

**Why B (`@`) is wrong:** The `@` symbol is reserved for CSS at-rules: `@media`, `@import`, `@keyframes`, `@font-face`, etc. These are not selectors — they are directives that configure CSS behavior.

**Why C (`.`) is correct:** The dot is the class selector prefix. `.highlight { }` targets every element with `class=""highlight""` (or any element where `highlight` is one of the classes in the `class` attribute). This is the most commonly used selector type in practical CSS.

**Why D (`~`) is wrong:** The tilde (`~`) is used in CSS as the general sibling combinator, which selects elements that share the same parent and follow a specified element. It is a combinator, not a prefix for attribute-based selectors.

**Memory tip:** Class = `.` Think of ""dot com"" — `.com` is a domain. A class is like a category or domain that many elements can belong to."
subjective,markdown,"A student argues: ""I use `<h3>` for my page titles because it looks the right size. There is no difference between the heading tags except their default size."" Which response best corrects this misunderstanding?",,,,,,,,The student is correct — heading tags are purely visual tools for controlling text size,"The student is wrong — heading tags communicate semantic importance. h1 signals the most important heading, and both search engines and screen readers interpret heading levels to understand page structure",The student is partially right — only h1 and h2 have any semantic meaning; h3 through h6 are just visual,"The student should use CSS font-size on `<h1>` tags only, never any other heading levels",,,,markdown,"**Why A (`#`) is wrong:** The `#` prefix is used for ID selectors. `#hero { }` targets the element with `id=""hero""`. The `id` must be unique; the `#` selector is its counterpart in CSS.

**Why B (`@`) is wrong:** The `@` symbol is reserved for CSS at-rules: `@media`, `@import`, `@keyframes`, `@font-face`, etc. These are not selectors — they are directives that configure CSS behavior.

**Why C (`.`) is correct:** The dot is the class selector prefix. `.highlight { }` targets every element with `class=""highlight""` (or any element where `highlight` is one of the classes in the `class` attribute). This is the most commonly used selector type in practical CSS.

**Why D (`~`) is wrong:** The tilde (`~`) is used in CSS as the general sibling combinator, which selects elements that share the same parent and follow a specified element. It is a combinator, not a prefix for attribute-based selectors.

**Memory tip:** Class = `.` Think of ""dot com"" — `.com` is a domain. A class is like a category or domain that many elements can belong to."
subjective,markdown,"# Q2: Writing a Correct Heading Hierarchy

## Problem Description

Write the HTML headings (only — no paragraph content needed) for an online cooking course catalog with the following outline structure:

```
I. Online Cooking Courses (page title)
  A. Beginner Courses
    1. Knife Skills
    2. Basic Sauces
  B. Advanced Courses
    1. French Cuisine
      a. Classic Techniques
    2. Asian Fusion
```

## Requirements

Translate the outline into HTML headings only:
- Level I items → `<h1>`
- Level A items → `<h2>`
- Level 1 items under A/B → `<h3>`
- Level a items under 1 → `<h4>`

Use the exact text from the outline above.

## Expected Output

Seven heading elements in the correct hierarchical order with the correct heading level for each item.

## Difficulty
Medium

## Category
Implementation

## Type
Coding",,,,,,,,,,,,,,,markdown,"Use `.task { }` for shared layout properties, then write separate rules for `.task-high`, `.task-medium`, and `.task-low` for the distinct border and background colors."
subjective,markdown,"A content manager reviews two versions of the same article page. Version A uses a proper heading hierarchy. Version B uses only `<p>` tags with CSS to make text appear larger for ""headings.""

Select all statements that are true about the differences between these two approaches:",,,,,,,,Version A with proper headings allows screen reader users to navigate between sections using heading keyboard shortcuts,Search engines can better understand the structure and topic of Version A's content because h1 through h6 have semantic meaning,Version B with large `<p>` text achieves the same SEO benefit as Version A with heading tags,A developer reading Version A's HTML code can understand the page's information hierarchy without a browser,,,,markdown,"**Option A — Correct:** `.classname { }` is the correct CSS syntax. The `.` prefix is what tells the browser ""look for elements with this value in their `class` attribute.""

**Option B — Incorrect:** Classes do NOT have a uniqueness requirement. Any number of elements on a page can share the same class value. This is the entire point — classes enable styling a group of elements with one rule.

**Option C — Correct:** Classes are tag-agnostic. A class like `.highlight` can be applied to a `<p>`, a `<div>`, a `<span>`, an `<li>`, or any other HTML element. The same CSS rule applies to all of them.

**Option D — Correct:** This is the primary use case for class selectors — creating a named, reusable style that can be applied to any group of elements that should share that visual appearance.

**Option E — Incorrect:** An element can have multiple classes. They are listed in the `class` attribute separated by spaces: `class=""task task-high featured""`. Each class in the list is applied independently.

**Option F — Correct:** In HTML, `class=""class-name""` is how you assign a class to an element. The CSS selector `.class-name { }` matches elements where `class-name` is present in the `class` attribute.

**Correct Answers: A, C, D, F**"
subjective,markdown,"# Q2: Build a Simple Login Form

## Problem Description

Build the HTML structure for a login form without using a `<form>` wrapper.

## Requirements

Create the following input elements with appropriate attributes:

1. An `<h2>` heading: `Sign in to Your Account`
2. An email input with:
   - `type=""email""`, `name=""email""`, `id=""login-email""`, `placeholder=""Email address""`, `required`
3. A password input with:
   - `type=""password""`, `name=""password""`, `id=""login-password""`, `placeholder=""Password""`, `required`
4. A checkbox input for ""Remember me"":
   - `type=""checkbox""`, `name=""remember""`, `id=""remember-me""`
   - A `<label>` for the checkbox with `for=""remember-me""` and text: `Remember me on this device`
5. A submit button:
   - `type=""submit""`, `class=""btn btn-login""`, button text: `Sign In`
6. An `<a>` link below the button:
   - `href=""forgot-password.html""`, link text: `Forgot your password?`

## Expected Output

A login form with email field, password field, ""remember me"" checkbox with label, a sign-in button, and a forgot password link.

## Difficulty
Medium

## Category
Implementation

## Type
Coding",,,,,,,,,,,,,,,markdown,"Use `.task { }` for shared layout properties, then write separate rules for `.task-high`, `.task-medium`, and `.task-low` for the distinct border and background colors."
