questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"### **Simple Greeting Function**

Define a function named `greet` that prints ""Hello, World!"" when called.

**Expected Output:**
Hello, World!

**Hint:** Use `def` keyword to define the function, then call it by name with parentheses.",,,,,,,,,,,,,,,markdown,"**Problem:** Write a function `greet` that takes a `name` parameter and an optional `greeting` parameter with default value ""Hello"". Return a greeting message.

**Solution:**
```python
def greet(name, greeting=""Hello""):
    return f""{greeting}, {name}!""

print(greet(""Alice""))  # Hello, Alice!
print(greet(""Bob"", ""Hi""))  # Hi, Bob!
print(greet(""Charlie"", ""Good morning""))  # Good morning, Charlie!
```

**Output:**
Hello, Alice!
Hi, Bob!
Good morning, Charlie!

**Explanation:**
The function has two parameters:
1. `name` - required parameter (no default)
2. `greeting` - optional parameter with default value ""Hello""

When called with just one argument (e.g., `greet(""Alice"")`), the `greeting` parameter uses its default value ""Hello"". When called with two arguments (e.g., `greet(""Bob"", ""Hi"")`), the second argument overrides the default value. The function returns a formatted greeting string using an f-string that combines the greeting and name.

**Key Concept:** Default parameters make function arguments optional, providing flexibility without requiring multiple function definitions."
subjective,markdown,"### **Print Separator**

Create a function `print_separator` that prints a line of 30 dashes.

**Expected Output:**
------------------------------

**Hint:** Use `print('-' * 30)` inside the function.",,,,,,,,,,,,,,,markdown,"**Problem:** Create a function `power` that takes a base number and an exponent with a default value of 2. Return the result.

**Solution:**
```python
def power(base, exponent=2):
    return base ** exponent

print(power(5))  # 25 (5²)
print(power(2, 3))  # 8 (2³)
print(power(10))  # 100 (10²)
print(power(3, 4))  # 81 (3⁴)
```

**Output:**
25
8
100
81

**Explanation:**
This function calculates the power of a number. The `base` parameter is required, while `exponent` has a default value of 2 (for squaring). If you call `power(5)`, it calculates 5² = 25. If you call `power(2, 3)`, it calculates 2³ = 8. The default value of 2 is useful because squaring is a common operation, making the function convenient for that use case while still allowing other exponents.

**Key Concept:** Default parameters should represent the most common or sensible use case for that parameter."
subjective,markdown,"### **Welcome Message**

Write a function `welcome` that prints a welcome message with your name.

**Expected Output:**
Welcome to Python Programming!
Let's learn functions together!

**Hint:** Function can contain multiple print statements.",,,,,,,,,,,,,,,markdown,"**Problem:** Define a function `calculate_discount` that takes a price and a discount percentage with a default of 10%. Return the discounted price.

**Solution:**
```python
def calculate_discount(price, discount_percent=10):
    discount_amount = price * discount_percent / 100
    final_price = price - discount_amount
    return final_price

print(calculate_discount(100))  # 90.0 (10% off)
print(calculate_discount(100, 20))  # 80.0 (20% off)
print(calculate_discount(250))  # 225.0 (10% off)
print(calculate_discount(50, 5))  # 47.5 (5% off)
```

**Output:**
90.0
80.0
225.0
47.5

**Explanation:**
The function calculates the final price after applying a discount. The `discount_percent` parameter has a default value of 10, representing a common discount rate. The calculation:
1. Calculate discount amount: `price * discount_percent / 100`
2. Subtract from original price: `price - discount_amount`

When called with just the price (`calculate_discount(100)`), it uses the default 10% discount. When called with both parameters (`calculate_discount(100, 20)`), it uses the specified discount rate.

**Key Concept:** Default parameters work well for common business rules or standard values that can be overridden when needed."
subjective,markdown,"### **Display Menu**

Create a function `show_menu` that displays a simple menu with 3 options.

**Expected Output:**
=== MENU ===
1. Start
2. Settings
3. Exit

**Hint:** Use multiple print statements with formatted strings.",,,,,,,,,,,,,,,markdown,"**Problem:** Write a function `create_email` that takes a username and an optional domain with default value ""example.com"". Return the full email address.

**Solution:**
```python
def create_email(username, domain=""example.com""):
    return f""{username}@{domain}""

print(create_email(""alice""))  # alice@example.com
print(create_email(""bob"", ""gmail.com""))  # bob@gmail.com
print(create_email(""charlie"", ""company.org""))  # charlie@company.org
```

**Output:**
alice@example.com
bob@gmail.com
charlie@company.org

**Explanation:**
This function creates email addresses by combining a username with a domain. The `domain` parameter has a default value of ""example.com"", which is useful for testing or when working with a primary domain. The function simply concatenates the username, the ""@"" symbol, and the domain using an f-string. Users can override the domain by providing a second argument.

**Key Concept:** Default parameters are excellent for configuration values that have a standard setting but may need customization."
subjective,markdown,"### **Calculate Circle Area**

Define a function `circle_area` that calculates and prints the area of a circle with radius 5. Use π = 3.14159.

**Expected Output:**
Area: 78.53975

**Hint:** Formula: area = π × r²",,,,,,,,,,,,,,,markdown,"**Problem:** Create a function `repeat_text` that takes text and a count parameter with default value 3. Return the repeated text.

**Solution:**
```python
def repeat_text(text, count=3):
    return text * count

print(repeat_text(""Hello""))  # HelloHelloHello
print(repeat_text(""Hi"", 5))  # HiHiHiHiHi
print(repeat_text(""*""))  # ***
print(repeat_text(""-"", 10))  # ----------
```

**Output:**
HelloHelloHello
HiHiHiHiHi
***
----------

**Explanation:**
This function repeats a string a specified number of times using Python's string multiplication operator (`*`). The `count` parameter has a default value of 3, making it easy to quickly repeat something three times without specifying the count. When called with just text (`repeat_text(""Hello"")`), it repeats 3 times. When called with both parameters (`repeat_text(""Hi"", 5)`), it uses the specified count.

**Key Concept:** Default parameters can provide convenience defaults for common operations while maintaining flexibility."
subjective,markdown,"### **Print Countdown**

Create a function `countdown` that prints numbers from 10 down to 1, then prints ""Go!"".

**Expected Output:**
10 9 8 7 6 5 4 3 2 1
Go!

**Hint:** Use a for loop with range(10, 0, -1).",,,,,,,,,,,,,,,markdown,"**Problem:** Define a function `convert_temperature` that takes a temperature value and an optional unit parameter (default ""C"" for Celsius). If unit is ""C"", convert to Fahrenheit; if ""F"", convert to Celsius. Return the converted value.

**Solution:**
```python
def convert_temperature(temp, unit=""C""):
    if unit == ""C"":
        converted = (temp * 9/5) + 32
    else:  # unit == ""F""
        converted = (temp - 32) * 5/9
    return converted

print(convert_temperature(0))  # 32.0 (0°C to °F)
print(convert_temperature(32, ""F""))  # 0.0 (32°F to °C)
print(convert_temperature(100))  # 212.0 (100°C to °F)
print(convert_temperature(212, ""F""))  # 100.0 (212°F to °C)
```

**Output:**
32.0
0.0
212.0
100.0

**Explanation:**
This function converts temperatures between Celsius and Fahrenheit. The `unit` parameter has a default value of ""C"", assuming the input is in Celsius (which is more commonly used globally). The function uses conditional logic:
- If `unit == ""C""`: Converts Celsius to Fahrenheit using formula `(temp * 9/5) + 32`
- If `unit == ""F""`: Converts Fahrenheit to Celsius using formula `(temp - 32) * 5/9`

The default makes it convenient to convert from Celsius (the default) to Fahrenheit, while still allowing Fahrenheit-to-Celsius conversions when specified.

**Key Concept:** Default parameters can represent the most common input format or standard unit in domain-specific functions."
subjective,markdown,"### **Temperature Converter**

Write a function `celsius_to_fahrenheit` that converts 25°C to Fahrenheit and prints the result.

**Expected Output:**
25°C is equal to 77.0°F

**Hint:** Formula: F = (C × 9/5) + 32",,,,,,,,,,,,,,,markdown,"**Problem:** Write a function `format_name` that takes first_name, last_name, and an optional title with default value ""Mr./Ms."". Return the formatted name.

**Solution:**
```python
def format_name(first_name, last_name, title=""Mr./Ms.""):
    return f""{title} {first_name} {last_name}""

print(format_name(""John"", ""Doe""))  # Mr./Ms. John Doe
print(format_name(""Jane"", ""Smith"", ""Dr.""))  # Dr. Jane Smith
print(format_name(""Bob"", ""Johnson"", ""Prof.""))  # Prof. Bob Johnson
```

**Output:**
Mr./Ms. John Doe
Dr. Jane Smith
Prof. Bob Johnson

**Explanation:**
This function formats a person's name with an optional title. The parameters are:
1. `first_name` - required
2. `last_name` - required
3. `title` - optional with default ""Mr./Ms.""

The default title ""Mr./Ms."" serves as a neutral, gender-inclusive option when no specific title is provided. The function combines all three parts into a formatted string using an f-string. Users can override the title by providing a third argument for professional titles like ""Dr."", ""Prof."", etc.

**Key Concept:** Default parameters should use neutral or generic values that work in most cases, allowing customization when needed."
subjective,markdown,"### **Prime Checker**

Define a function `is_prime_number` that checks if 17 is prime and prints the result.

**Expected Output:**
17 is a prime number

**Hint:** Loop from 2 to √17 and check for divisors.",,,,,,,,,,,,,,,markdown,"**Problem:** Create a function `calculate_tax` that takes income and an optional tax_rate with default 15%. Return the tax amount.

**Solution:**
```python
def calculate_tax(income, tax_rate=15):
    tax_amount = income * tax_rate / 100
    return tax_amount

print(calculate_tax(50000))  # 7500.0 (15%)
print(calculate_tax(50000, 20))  # 10000.0 (20%)
print(calculate_tax(100000))  # 15000.0 (15%)
print(calculate_tax(75000, 25))  # 18750.0 (25%)
```

**Output:**
7500.0
10000.0
15000.0
18750.0

**Explanation:**
This function calculates tax based on income and a tax rate. The `tax_rate` parameter has a default value of 15, representing a standard tax rate percentage. The calculation is straightforward: `income * tax_rate / 100`. When called with just income (`calculate_tax(50000)`), it uses the default 15% rate. When called with both parameters (`calculate_tax(50000, 20)`), it uses the specified rate. This pattern is common in financial calculations where standard rates exist but can vary.

**Key Concept:** Default parameters are ideal for rates, percentages, and factors that have standard values but may need adjustment."
subjective,markdown,"### **Fibonacci Sequence**

Create a function `print_fibonacci` that prints the first 10 Fibonacci numbers.

**Expected Output:**
0 1 1 2 3 5 8 13 21 34

**Hint:** Start with 0 and 1, then each number is sum of previous two.",,,,,,,,,,,,,,,markdown,"**Problem:** Define a function `send_message` that takes a message text and an optional priority with default ""Normal"". Print the message with its priority level.

**Solution:**
```python
def send_message(message, priority=""Normal""):
    print(f""[{priority}] {message}"")

send_message(""Meeting at 3pm"")

send_message(""URGENT: Server down"", ""High"")

send_message(""Reminder: Submit report"", ""Low"")
```

**Output:**
[Normal] Meeting at 3pm
[High] URGENT: Server down
[Low] Reminder: Submit report

**Explanation:**
This function simulates a messaging system with priority levels. The `priority` parameter has a default value of ""Normal"", assuming most messages have standard priority. The function prints a formatted message with the priority in brackets followed by the message text. When no priority is specified, it defaults to ""Normal"", making the function easy to use for routine messages while still supporting high-priority or low-priority messages when needed.

**Key Concept:** Default parameters work well for classification or categorization values that have a standard or most-common category."
subjective,markdown,"### **Pattern Printer**

Write a function `print_triangle` that prints a right triangle with 5 rows.

**Expected Output:**
*
* *
* * *
* * * *
* * * * *

**Hint:** Use nested loops inside the function.",,,,,,,,,,,,,,,markdown,"**Problem:** Write a function `calculate_rectangle_area` that takes length and width, both with default value 1. Return the area.

**Solution:**
```python
def calculate_rectangle_area(length=1, width=1):
    return length * width

print(calculate_rectangle_area())  # 1 (1 × 1)
print(calculate_rectangle_area(5))  # 5 (5 × 1)
print(calculate_rectangle_area(5, 3))  # 15 (5 × 3)
print(calculate_rectangle_area(width=4))  # 4 (1 × 4)
print(calculate_rectangle_area(7, 2))  # 14 (7 × 2)
```

**Output:**
1
5
15
4
14

**Explanation:**
This function calculates the area of a rectangle, with both parameters having default values of 1 (representing a unit square). This demonstrates multiple default parameters:
- Called with no arguments: Uses both defaults (1 × 1 = 1)
- Called with one argument: First default is overridden (5 × 1 = 5)
- Called with two arguments: Both defaults are overridden (5 × 3 = 15)
- Called with keyword argument: Can override specific parameter (1 × 4 = 4)

The default of 1 is useful for testing or calculating unit values.

**Key Concept:** Multiple default parameters provide maximum flexibility, allowing functions to work with 0, 1, 2, or all parameters specified."
