questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Which statement is true regarding the concept of **applying logical operators for boolean logic**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"1. Takes user's age and whether they have a driver's license (yes/no)
2. Determines if they can drive (age >= 18 AND has license)
3. Prints the result

Example:
Enter your age: 20
Do you have a license? (yes/no): yes
Can drive: True",,,,,,,,,,,,,,0,markdown,"```python
name = ""Alice""
age = 25
print(f""My name is {name} and I am {age} years old"")
```"
subjective,markdown,"1. Take inputs for is_weekend (yes/no) and is_sunny (yes/no)
2. Good day if it's weekend OR sunny
3. Print the result

Example:
Is it weekend? (yes/no): no
Is it sunny? (yes/no): yes
Good day to go outside: True",,,,,,,,,,,,,,0,markdown,"```python
price = 29.99
quantity = 3
total = price * quantity
print(f""Total: ${total:.2f}"")
```"
subjective,markdown,"1. Take exam score (0-100) and whether assignment was submitted (yes/no)
2. Student passes if score >= 60 AND assignment submitted
3. Also check if student got excellent grade (score >= 90 AND assignment submitted)
4. Print both results

Example:
Enter exam score: 85
Was assignment submitted? (yes/no): yes
Passed: True
Excellent: False",,,,,,,,,,,,,,0.5,markdown,"```python
import math
pi = math.pi
print(f""Pi: {pi:.3f}"")  # 3.142
```"
subjective,markdown,"1. Username is not empty (length > 0)
2. Password is at least 8 characters
3. Both conditions must be true to login
4. Print if login is valid

Example:
Enter username: alice
Enter password: secure123
Login valid: True",,,,,,,,,,,,,,0.5,markdown,"```python
name = ""Alice Johnson""
math_score = 95
english_score = 87
average = (math_score + english_score) / 2

print(f""Student: {name}"")
print(f""Math: {math_score}"")
print(f""English: {english_score}"")
print(f""Average: {average:.1f}"")
```"
subjective,markdown,"1. Take age, has parent with them (yes/no), and movie rating (G/PG/PG13/R)
2. Rules:
   - G: Anyone can watch
   - PG: Anyone can watch
   - PG13: Age >= 13 OR has parent
   - R: Age >= 17 OR (age >= 13 AND has parent)
3. Print if they can watch

Example:
Enter your age: 15
Is parent with you? (yes/no): no
Movie rating (G/PG/PG13/R): PG13
Can watch movie: True

Hint: Use multiple `and`/`or` combinations!",,,,,,,,,,,,,,0.5,markdown,"```python
print(f""{'Name':<12} | {'Score':>5}"")
print(f""{'-'*12}-|-{'-'*5}"")
print(f""{'Alice':<12} | {95:>5}"")
print(f""{'Bob':<12} | {87:>5}"")
print(f""{'Charlie':<12} | {92:>5}"")
```"
mcsc,markdown,Which statement is true regarding the concept of **writing if statements for conditional execution**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"1. Takes a number as input
2. If the number is positive (> 0), print ""Positive number""
3. If the number is negative (< 0), print ""Negative number""
4. If the number is zero (== 0), print ""Zero""

Example:
Enter a number: 5
Positive number",,,,,,,,,,,,,,0,markdown,"```python
name = ""Alice""
age = 25
print(f""My name is {name} and I am {age} years old"")
```"
subjective,markdown,"1. Takes user's age as input
2. If age is 18 or above, print ""You can vote""
3. If age is 21 or above, print ""You can drink alcohol (in US)""
4. Always print ""Thank you"" at the end

Example:
Enter your age: 25
You can vote
You can drink alcohol (in US)
Thank you",,,,,,,,,,,,,,0,markdown,"```python
price = 29.99
quantity = 3
total = price * quantity
print(f""Total: ${total:.2f}"")
```"
subjective,markdown,"1. Take a password as input
2. Check and print messages for:
   - Length >= 8: ""Good length""
   - Length >= 12: ""Strong length""
   - Length < 8: ""Too short""

Example:
Enter password: mypass123
Good length",,,,,,,,,,,,,,0.5,markdown,"```python
import math
pi = math.pi
print(f""Pi: {pi:.3f}"")  # 3.142
```"
subjective,markdown,"1. Take attendance percentage and fee status (paid/unpaid)
2. If attendance >= 75 AND fee is paid, print ""Eligible for exam""
3. If attendance < 75, print ""Low attendance""
4. If fee is unpaid, print ""Fee not paid""

Example:
Enter attendance %: 80
Fee paid? (paid/unpaid): paid
Eligible for exam",,,,,,,,,,,,,,0.5,markdown,"```python
name = ""Alice Johnson""
math_score = 95
english_score = 87
average = (math_score + english_score) / 2

print(f""Student: {name}"")
print(f""Math: {math_score}"")
print(f""English: {english_score}"")
print(f""Average: {average:.1f}"")
```"
subjective,markdown,"1. Take a score (0-100) as input
2. Use multiple if statements to:
   - Check if score >= 90: print ""Grade: A"" and ""Excellent work!""
   - Check if score >= 80 and < 90: print ""Grade: B"" and ""Good job!""
   - Check if score >= 70 and < 80: print ""Grade: C"" and ""Satisfactory""
   - Check if score >= 60 and < 70: print ""Grade: D"" and ""Needs improvement""
   - Check if score < 60: print ""Grade: F"" and ""Failed""
3. Also check:
   - If score == 100: print ""Perfect score!""
   - If score < 50: print ""Please see instructor""

Example:
Enter your score: 95
Grade: A
Excellent work!

Hint: You'll need multiple if statements with different conditions!",,,,,,,,,,,,,,0.5,markdown,"```python
print(f""{'Name':<12} | {'Score':>5}"")
print(f""{'-'*12}-|-{'-'*5}"")
print(f""{'Alice':<12} | {95:>5}"")
print(f""{'Bob':<12} | {87:>5}"")
print(f""{'Charlie':<12} | {92:>5}"")
```"
mcsc,markdown,Which statement is true regarding the concept of **writing elif statements for multiple conditions**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"- If chest >= 42: ""XL""
- Elif chest >= 38: ""L""
- Elif chest >= 34: ""M""
- Elif chest >= 30: ""S""
- Else: ""XS""

Example:
Enter chest measurement (inches): 36
Size: M",,,,,,,,,,,,,,0,markdown,"```python
name = ""Alice""
age = 25
print(f""My name is {name} and I am {age} years old"")
```"
subjective,markdown,"- If number > 0: ""Positive""
- Elif number < 0: ""Negative""
- Else: ""Zero""

Example:
Enter a number: -5
Negative",,,,,,,,,,,,,,0,markdown,"```python
price = 29.99
quantity = 3
total = price * quantity
print(f""Total: ${total:.2f}"")
```"
subjective,markdown,"- If speed <= speed_limit: ""No fine""
- Elif speed <= speed_limit + 10: ""Warning""
- Elif speed <= speed_limit + 20: ""Fine: $50""
- Elif speed <= speed_limit + 30: ""Fine: $100""
- Else: ""Fine: $200 and court appearance""

Take speed limit and actual speed as inputs.

Example:
Enter speed limit: 60
Enter your speed: 75
Fine: $50",,,,,,,,,,,,,,0.5,markdown,"```python
import math
pi = math.pi
print(f""Pi: {pi:.3f}"")  # 3.142
```"
subjective,markdown,"- If score >= 97: ""A+""
- Elif score >= 93: ""A""
- Elif score >= 90: ""A-""
- Elif score >= 87: ""B+""
- Elif score >= 83: ""B""
- Elif score >= 80: ""B-""
- Elif score >= 77: ""C+""
- Elif score >= 73: ""C""
- Elif score >= 70: ""C-""
- Elif score >= 60: ""D""
- Else: ""F""",,,,,,,,,,,,,,0.5,markdown,"```python
name = ""Alice Johnson""
math_score = 95
english_score = 87
average = (math_score + english_score) / 2

print(f""Student: {name}"")
print(f""Math: {math_score}"")
print(f""English: {english_score}"")
print(f""Average: {average:.1f}"")
```"
subjective,markdown,"- $0 - $10,000: 0% tax
- $10,001 - $40,000: 10% tax
- $40,001 - $85,000: 20% tax
- $85,001 - $160,000: 30% tax
- Above $160,000: 40% tax

Calculate and print the tax amount.

Example:
Enter annual income: 50000
Tax bracket: 20%
Tax amount: $10000.00

Hint: Use elif to determine the bracket, then calculate tax!",,,,,,,,,,,,,,0.5,markdown,"```python
print(f""{'Name':<12} | {'Score':>5}"")
print(f""{'-'*12}-|-{'-'*5}"")
print(f""{'Alice':<12} | {95:>5}"")
print(f""{'Bob':<12} | {87:>5}"")
print(f""{'Charlie':<12} | {92:>5}"")
```"
mcsc,markdown,Which statement is true regarding the concept of **writing else statements for default cases**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"- If divisible by 2: ""Even""
- Else: ""Odd""

Example:
Enter a number: 7
Odd",,,,,,,,,,,,,,0,markdown,"```python
name = ""Alice""
age = 25
print(f""My name is {name} and I am {age} years old"")
```"
subjective,markdown,"- If age >= 18: ""You can vote""
- Else: ""You cannot vote yet. Wait X years"" (calculate X)

Example:
Enter your age: 16
You cannot vote yet. Wait 2 years",,,,,,,,,,,,,,0,markdown,"```python
price = 29.99
quantity = 3
total = price * quantity
print(f""Total: ${total:.2f}"")
```"
subjective,markdown,"- >= 90: A
- >= 80: B
- >= 70: C
- >= 60: D
- Else: F

Also print whether they passed (>= 60) or failed.

Example:
Enter score: 55
Grade: F
Result: Failed",,,,,,,,,,,,,,0.5,markdown,"```python
import math
pi = math.pi
print(f""Pi: {pi:.3f}"")  # 3.142
```"
subjective,markdown,"- If weight <= 1kg: $5
- Elif weight <= 5kg: $10
- Elif weight <= 10kg: $15
- Else: $25

Example:
Enter package weight (kg): 12
Shipping cost: $25",,,,,,,,,,,,,,0.5,markdown,"```python
name = ""Alice Johnson""
math_score = 95
english_score = 87
average = (math_score + english_score) / 2

print(f""Student: {name}"")
print(f""Math: {math_score}"")
print(f""English: {english_score}"")
print(f""Average: {average:.1f}"")
```"
subjective,markdown,"- Check if amount > 0 (else: ""Invalid amount"")
- Check if amount <= balance (else: ""Insufficient funds"")
- Check if amount % 10 == 0 (else: ""Amount must be multiple of 10"")
- Else: ""Withdrawal successful""

Use nested if-else statements.

Example:
Balance: $500
Enter amount: $50
Withdrawal successful
New balance: $450",,,,,,,,,,,,,,0.5,markdown,"```python
print(f""{'Name':<12} | {'Score':>5}"")
print(f""{'-'*12}-|-{'-'*5}"")
print(f""{'Alice':<12} | {95:>5}"")
print(f""{'Bob':<12} | {87:>5}"")
print(f""{'Charlie':<12} | {92:>5}"")
```"
mcsc,markdown,Which statement is true regarding the concept of **writing nested conditionals for complex logic**?,,,,,,1,,It is a fundamental feature that enables this specific logic or operation in Python.,It is a visual styling tool for output formatting.,It is a module that must be downloaded via pip before every use.,It is an outdated practice not included in Python 3.,,,,markdown,
subjective,markdown,"Write a program that classifies a person's age into categories. If age is valid (>= 0), classify as:
- Child: 0-12
- Teenager: 13-19
- Adult: 20-59
- Senior: 60+

If age is negative, print ""Invalid age"".

Test with age = 25.

**Expected Output:**
Adult

**Hint:** Use outer if for validation, inner elif chain for classification.",,,,,,,,,,,,,,0,markdown,"```python
name = ""Alice""
age = 25
print(f""My name is {name} and I am {age} years old"")
```"
