Phase,Module,Week,Session,Session Number,Title,Objective,Topics Covered,Detailed Subtopics/Learning Objectives,Proposed Sessions by,Date,Day,Duration
,,0,,,Virtual Inaugural,Official Inaugural of the Programme,,,,14/08/2026,Friday,
Phase 1: Foundations,Module 1: Programming Foundations (JavaScript),1,1.1,1,"Variables, Data Types, Operators & Conditionals","Write first JavaScript programs in One Compiler with variables, data types, operators, and if/else","One Compiler setup; let and const; primitives — string, number, boolean, null, undefined; arithmetic comparison logical and assignment operators; expressions; if / else / else if","* Set up and run JavaScript programs in One Compiler
* Declare variables with let and const and use core primitive data types
* Apply arithmetic, comparison, logical, and assignment operators
* Write basic if / else / else if programs for simple decisions
* Trace variable values for sample inputs",Industry Mentor,19/08/2026,Wednesday,2hrs
Phase 1: Foundations,Module 1: Programming Foundations (JavaScript),1,1.2,2,Loops & Iterations in JavaScript,Automate repetitive tasks using for and while loops with break and continue,for loops; while loops; break and continue; counting and summing patterns; choosing for vs while; guided loop exercises in One Compiler,"* Write for loops to repeat actions a set number of times
* Write while loops that repeat until a condition changes
* Control loop execution using break and continue appropriately
* Choose the correct loop type for a given repetitive problem
* Solve beginner loop exercises in One Compiler",Industry Mentor,21/08/2026,Friday,2hrs
Phase 1: Foundations,Module 1: Programming Foundations (JavaScript),2,2.1,3,"Arrays, Strings & Objects","Store and process data using arrays, strings, and objects with essential methods","Arrays — create, index, push, pop, length, map; strings — indexing, slice, split, join, toUpperCase/toLowerCase/trim; objects — create, read, update properties; when to use each","* Create and manipulate arrays using indexing, push, pop, length, and map
* Work with strings using indexing, slicing, and common string methods
* Create objects and read or update their properties
* Choose array, string, or object for a simple data need
* Solve short practice problems using these three structures",Industry Mentor,26/08/2026,Wednesday,2hrs
Phase 1: Foundations,Module 1: Programming Foundations (JavaScript),2,2.2,4,Functions in JavaScript,"Design reusable functions with parameters, return values, and beginner scope rules",Function declarations; parameters and arguments; return values; local vs global scope; arrow function basics; refactoring repeated logic,"* Define and call functions with a clear purpose
* Pass parameters and use return values in calling code
* Explain local vs global scope at a beginner level
* Write simple arrow functions for short logic
* Refactor repeated code into reusable functions",Industry Mentor,28/08/2026,Friday,2hrs
Phase 1: Foundations,Module 1: Programming Foundations (JavaScript),2,MC1,MC1,Masterclass: Algorithmic Thinking in JavaScript,Build a simple problem-solving checklist with patterns and plain Big-O intuition,"Problem decomposition; inputs, outputs, edge cases; frequency-counter intuition using objects; two-pointer intuition on arrays; O(1), O(n), O(n²) in plain words","* Break a problem into inputs, steps, outputs, and edge cases
* Apply frequency-counter intuition on a simple example
* Apply two-pointer intuition on a simple array example
* Explain O(1), O(n), and O(n²) with plain language examples
* Use a short checklist before coding a new problem",Professor,29/08/2026,Saturday,2hrs
Phase 1: Foundations,Module 2: Web Fundamentals,3,3.1,5,VS Code Setup & HTML Semantic Markup,Configure VS Code and build structured pages with semantic HTML and forms,"VS Code and browser DevTools; HTML document structure; semantic tags; headings paragraphs links images; forms, input types, labels, and buttons","* Open and run HTML files locally in VS Code
* Write well-structured pages using semantic tags
* Implement forms with common input elements and labels
* Apply semantic HTML for clearer page structure
* Inspect HTML using browser DevTools",Industry Mentor,02/09/2026,Wednesday,2hrs
Phase 1: Foundations,Module 2: Web Fundamentals,3,3.2,6,CSS Fundamentals & Flexbox,"Style pages with selectors, the box model, and a basic Flexbox layout","Linking CSS (internal and external); element class and id selectors; color typography backgrounds borders; box model; Flexbox basics — flex-direction, justify-content, align-items, gap","* Apply CSS using internal and external stylesheets
* Use element, class, and id selectors with core properties
* Explain and apply the CSS box model
* Build one simple row or column layout with Flexbox
* Debug basic CSS issues in DevTools",Industry Mentor,04/09/2026,Friday,2hrs
Phase 1: Foundations,Module 2: Web Fundamentals,4,4.1,7,CSS Grid & Responsive Design,Build a multi-section layout with CSS Grid and one media query for responsiveness,"CSS Grid — rows, columns, gaps, simple grid areas; header/main/footer pattern; one media query; responsive units (% / rem); mobile-first idea","* Define grid rows, columns, and gaps on a container
* Place header, main, and footer sections on a simple grid
* Write one media query for phone vs desktop
* Use basic responsive units in spacing or width
* Apply a mobile-first approach at a beginner level",Industry Mentor,09/09/2026,Wednesday,2hrs
Phase 1: Foundations,Module 2: Web Fundamentals,4,4.2,8,DOM Manipulation & Event Handling,"Attach JavaScript to an HTML page, update the DOM, and handle user events",script tag and console in the browser; DOM tree basics; getElementById and querySelector; reading and updating text/attributes; addEventListener; click and input events; one small interactive demo,"* Attach a JavaScript file to an HTML page and use the browser console
* Select elements with getElementById and querySelector
* Read and update element content or attributes
* Attach click and input event listeners
* Build one small interactive DOM change on user action",Industry Mentor,11/09/2026,Friday,2hrs
Phase 1: Foundations,Module 2: Web Fundamentals,4,MC2,MC2,Masterclass: Asynchronous JavaScript,"Understand async JavaScript with timers, Promises, and async/await before API fetching",Sync vs async; setTimeout as a simple async example; Promise states; then/catch basics; async/await with try/catch; why fetch needs async,"* Explain synchronous vs asynchronous execution
* Use setTimeout to demonstrate deferred work
* Describe Promise pending, fulfilled, and rejected states
* Write async/await with try/catch for a simple async task
* Explain why network requests need asynchronous code",Professor,12/09/2026,Saturday,2hrs
Phase 1: Foundations,Module 3: Version Control & Collaboration,5,5.1,9,Git Basics & GitHub Setup,Track local changes with Git and push a project to GitHub,"Why version control; git init, add, commit, log; local vs remote; GitHub account; push and clone; .gitignore and README basics","* Explain why version control matters
* Initialize a repo and use init, add, commit, and log
* Connect a local repo to GitHub and push
* Clone an existing remote repository
* Apply basic hygiene — .gitignore, clear commit messages, README",Industry Mentor,16/09/2026,Wednesday,2hrs
Phase 1: Foundations,Module 3: Version Control & Collaboration,5,5.2,10,"Branching, Merging & Pull Requests","Use branches, merge changes, open a pull request, and fix one basic conflict",git branch and switch; merge into main; pull-before-push; opening and merging a PR; one basic merge conflict; short code-review intro,"* Create and switch branches for a feature
* Merge a branch into main using a standard workflow
* Open and merge a pull request on GitHub
* Resolve one basic merge conflict with mentor guidance
* Practise pull-before-push on a shared exercise",Industry Mentor,18/09/2026,Friday,2hrs
