Module,Week,Session,Session Number,Title,Objective,Topics Covered,Detailed Subtopics/Learning Objectives,Proposed Sessions by,Date,Day,Time
,0,,,Virtual Inaugural,Official Inaugural of the Programme,,,,,,
Module 1: Programming Foundations + Developer Setup,1,1.1,1,Introduction to Programming & Python Basics,"Write and execute first Python programs using One Compiler with variables, data types, operators, and basic input/output","One Compiler setup; variables and data types; arithmetic, comparison, and logical operators; expressions; basic input/output with input() and print()","* Explain what a program is and how Python code is written and executed in One Compiler
* Set up and run Python programs in One Compiler without local installation
* Declare variables and work with core data types — int, float, str, and bool
* Apply arithmetic, comparison, logical, and assignment operators in expressions
* Use input() and print() to build simple interactive programs",Industry Mentor ,25/07/2026,Saturday,05:00 PM - 07:30 PM
Module 1: Programming Foundations + Developer Setup,1,1.2,2,Operators & Conditional Statements,Control program flow using if/elif/else and boolean logic to solve conditional programming problems,Conditionals; if-elif-else; boolean logic; comparison operators in conditions; step-by-step problem decomposition; introductory conditional exercises,"* Implement if, elif, and else branches to control program flow
* Evaluate conditions using comparison operators and boolean logic (and, or, not)
* Break word problems into logical, testable steps before writing code
* Build single-branch and multi-branch conditional programs for real scenarios
* Trace and debug conditional logic by following execution paths for sample inputs",Industry Mentor ,26/07/2026,Sunday,11:00 AM - 01:30 PM
Module 1: Programming Foundations + Developer Setup,2,MC1,MC1,Masterclass: How Computers Work & Operating Systems,How computers and operating systems work and why programmers need this foundation,Need to understand how machines run code; limits of treating a computer as a black box; CPU memory and storage roles; operating system responsibilities; processes; file systems,"* Explain why a programmer needs to understand how a computer works beyond writing code only
* Explain the demerit of treating the machine as a black box when programs fail or run slowly
* Explain the role of CPU memory and storage in running a program
* Explain the role of an operating system in managing programs users and resources
* Explain how processes and file systems help in understanding how code and data live on a machine",Professor ,30/07/2026,Thursday,8.00 PM - 9.30 PM
Module 1: Programming Foundations + Developer Setup,2,2.1,3,Loops & Iterations in Python,Automate repetitive tasks using for loops and while loops with break and continue,For loops; while loops; break and continue; automating sequences; iterative problem solving; choosing the right loop for a problem,"* Write for loops to iterate over sequences and using range()
* Write while loops to repeat actions until a condition changes
* Control loop execution using break and continue appropriately
* Apply loops to automate summing, counting, and filtering tasks
* Choose the correct loop type (for vs while) for a given repetitive problem",Industry Mentor ,01/08/2026,Saturday,05:00 PM - 07:30 PM
Module 1: Programming Foundations + Developer Setup,2,2.2,4,Functions in Python,"Design reusable code blocks with parameters, return values, and scope for modular programs",Functions; def keyword; parameters and arguments; return values; local vs global scope; writing reusable readable code,"* Define and call functions using def with a clear purpose
* Pass data into functions using parameters and default arguments
* Return results from functions and use return values in calling code
* Explain local vs global scope and avoid common scope-related bugs
* Refactor repeated logic into reusable, readable functions",Industry Mentor ,02/08/2026,Sunday,11:00 AM - 01:30 PM
Module 1: Programming Foundations + Developer Setup,3,3.1,5,"Core Data Structures: Strings, Lists, Tuples, Dictionaries & Sets","Manipulate core Python data structures for storing, querying, and processing in-memory data",Strings; lists; tuples; dictionaries; sets; indexing and slicing; key-value operations; common methods; built-in functions on collections,"* Manipulate strings, lists, and tuples using indexing, slicing, and essential methods
* Create and query dictionaries and sets for structured in-memory data
* Apply built-in functions — len(), sorted(), min(), max(), sum() — on collections
* Distinguish when to use lists, tuples, dictionaries, and sets for a given problem
* Solve practical problems involving ordered and key-value data structures",Industry Mentor ,08/08/2026,Saturday,05:00 PM - 07:30 PM
Module 1: Programming Foundations + Developer Setup,3,3.2,6,Sorting Algorithms – Bubble Sort & Selection Sort,Understand and implement bubble sort and selection sort and compare with Python built-in sorting using One Compiler,Bubble sort intuition and implementation; selection sort intuition and implementation; tracing sort execution; O(n²) complexity; sorted() and list.sort() comparison,"* Explain how bubble sort and selection sort work step by step
* Implement bubble sort and selection sort in Python
* Trace algorithm execution manually on sample arrays
* Analyze O(n²) time complexity for elementary sorting algorithms
* Compare custom sort implementations with Python's sorted() and list.sort()",Industry Mentor ,09/08/2026,Sunday,11:00 AM - 01:30 PM
Module 1: Programming Foundations + Developer Setup,4,4.1,7,Searching Algorithms – Linear Search & Binary Search,Implement searching algorithms on sorted and unsorted data and analyze basic time complexity using One Compiler,Linear search; binary search prerequisites; iterative binary search; tracing search execution; O(n) and O(log n) complexity intuition,"* Implement linear search on lists using loops and membership checks
* Explain why binary search requires sorted data and how sorting enables efficient lookup
* Implement iterative binary search in Python on sorted arrays
* Trace linear and binary search execution step-by-step on sample inputs
* Compare linear search O(n) vs binary search O(log n) at an intuitive level",Industry Mentor ,16/08/2026,Sunday,11:00 AM - 01:30 PM
Module 1: Programming Foundations + Developer Setup,4,MC2,MC2,Masterclass: Algorithms & Complexity Analysis,Why algorithm choice and complexity analysis matter when solving problems,Need for algorithms; demerit of inefficient approaches; what complexity means; Big-O intuition; comparing searching and sorting strategies,"* Explain why we need algorithms instead of solving every problem with ad-hoc steps only
* Explain the demerit of an inefficient approach as input size grows
* Explain what time and space complexity mean at a conceptual level
* Explain Big-O intuition for comparing two approaches to the same problem
* Explain why searching and sorting strategies should be compared before choosing one",Professor ,20/08/2026,Thursday,8.00 PM - 9.30 PM
