questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation

mcsc,markdown,"What is the output?

s = ""Python""
print(s[:4])",,,,,,,"Pyth",,"Pyth","ytho","Pyt","Python",,,0,markdown,"Slicing s[:4] returns characters from index 0 to 3 → 'Pyth'."

mcsc,markdown,"Which method is used to split a string into a list?",,,,,,,"split()",,"join()","split()","break()","divide()",,,0,markdown,"split() converts a string into a list based on a delimiter."

mcsc,markdown,"Which statement is correct about strings?",,,,,,,"Strings are immutable",,"Strings are mutable","Strings are immutable","Strings cannot be indexed","Strings only store numbers",,,0,markdown,"Strings cannot be changed after creation, so they are immutable."

mcsc,markdown,"What is the output?

list(map(int, [""1"",""2"",""3""]))",,,,,,,"[1,2,3]",,"[""1"",""2"",""3""]","[1,2,3]","(1,2,3)","Error",,,0,markdown,"map(int, ...) converts each string to integer, and list() makes it a list."

mcsc,markdown,"What does filter() do in Python?",,,,,,,"Filters elements based on condition",,"Sorts elements","Modifies elements","Filters elements based on condition","Converts list to string",,,0,markdown,"filter() keeps elements that satisfy a given condition."

mcsc,markdown,"Which method avoids error if a dictionary key is missing?",,,,,,,"get()",,"find()","get()","search()","value()",,,0,markdown,"dict.get(key) returns None (or default) instead of error if key is missing."

mcsc,markdown,"Which of the following is TRUE about dictionaries?",,,,,,,"Keys must be immutable",,"Keys can be duplicate","Keys must be immutable","Values must be strings","Dictionaries do not allow updates",,,0,markdown,"Dictionary keys must be immutable (e.g., string, tuple)."

mcsc,markdown,"Which function is used to sort elements in Python?",,,,,,,"sort()",,"arrange()","sort()","order()","filter()",,,0,markdown,"list.sort() sorts the list in-place."

subjective,markdown,"Write a Python program that:

1. Takes a string as input
2. Counts the frequency of each character using a dictionary
3. Prints only characters that appear more than once

Example:
Input: ""programming""
Output: {'r':2, 'g':2, 'm':2}

Instructions:
- Use dictionary
- Use loop
- Print only repeated characters
- Write clean and readable code",,600,,,,,,,"",,,,,,0.5,markdown,"Student should demonstrate understanding of strings, dictionaries, and iteration. Expected approach: loop through string, count frequency, then filter values > 1."
