questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"For a single search query on an unsorted array of N elements, which approach is more efficient?",,,,,,2,,"Sort the array first, then binary search",Linear search directly,Both have the same complexity,It depends on the target value,,,0,markdown,"Recursive binary search makes one recursive call per iteration, halving the search space each time. The maximum recursion depth equals the maximum number of halvings = log₂(N).

Each frame stores: arr reference, target, lo, hi, mid, return address — a constant amount. So total stack space = O(log N) × O(1) = O(log N)."
mcsc,markdown,"For N = 1,000,000 elements and Q queries, at approximately what value of Q does sorting once and using binary search become faster than Q linear searches?",,,,,,2,,Q = 1,Q = 20,"Q = 1,000",Q = N,,,0,markdown,"In the recursive binary search:
```
IF arr[mid] < target:
    RETURN bs_rec(arr, target, mid+1, hi)   // last operation ← tail call
RETURN bs_rec(arr, target, lo, mid-1)        // last operation ← tail call
```

Both recursive calls are the last thing that happens before the function returns — no computation occurs after the recursive call. This is the definition of tail recursion.

**Option A** is wrong: tail recursion means calling itself once as the last operation.
**Option C** is wrong: Python does not perform TCO. Each call still uses a stack frame.
**Option D** is wrong: tail recursion does not imply O(N) stack. Without TCO, it's O(log N); with TCO, O(1)."
int,markdown,"For an array of N = 2¹⁰ = 1024 elements, what is the minimum number of queries Q for which the total cost of sorting once then using binary search (O(N log N + Q log N)) is less than the total cost of Q linear searches (O(QN))?

Assume each comparison has equal cost and ignore constants. Enter Q: ____",11,,,,,,,,,,,,,0,markdown,"For N = 2³⁰: each recursive call halves the search space. After k calls, N / 2ᵏ elements remain. The base case (lo > hi) is reached when k = log₂(N) = log₂(2³⁰) = 30.

So exactly 30 recursive calls are made in the worst case.

Memory usage: 30 frames × ~100 bytes/frame (Python frame overhead) ≈ 3KB. Completely safe.

Python's default recursion limit is 1000. 30 << 1000 — no risk of hitting the limit for binary search even on the largest practical arrays."
subjective,markdown,"Given an unsorted array of N integers and Q search targets, return all indices of found targets using the optimal strategy:
- If Q == 1, use linear search.
- If Q > 1, sort once and use binary search for each query.

Return results in the order of queries. Return -1 for targets not found.

**Constraints:**
- 1 ≤ N ≤ 10⁵
- 1 ≤ Q ≤ 10⁵
- -10⁶ ≤ arr[i], targets[i] ≤ 10⁶

**Examples:**

**Input:** `arr = [5, 2, 8, 1, 9]`, `targets = [8, 2]`
**Output:** `[2, 1]` (original indices after sorting, use binary search)

**Input:** `arr = [5, 2, 8, 1, 9]`, `targets = [8]`
**Output:** `[2]` (linear search, original index)

**Expected Complexity:**
- Single query: O(N)
- Multiple queries: O(N log N + Q log N)",,,,,,,,,,,,,,0.5,markdown,"**Algorithm:**
```
FUNCTION bs_rec(arr, target, lo, hi):
    IF lo > hi: RETURN -1                    // base case: empty window
    mid ← lo + (hi - lo) // 2
    IF arr[mid] == target: RETURN mid
    IF arr[mid] < target:
        RETURN bs_rec(arr, target, mid+1, hi)
    RETURN bs_rec(arr, target, lo, mid-1)
```

Call with: `bs_rec(arr, target, 0, len(arr)-1)`

**Trace on [2,4,6,8,10], target=6:**
- bs_rec(..., 0, 4): mid=2, arr[2]=6 == 6 → return 2 ✓

**Trace on [2,4,6,8,10], target=5:**
- bs_rec(..., 0, 4): mid=2, arr[2]=6 > 5 → bs_rec(..., 0, 1)
- bs_rec(..., 0, 1): mid=0, arr[0]=2 < 5 → bs_rec(..., 1, 1)
- bs_rec(..., 1, 1): mid=1, arr[1]=4 < 5 → bs_rec(..., 2, 1)
- bs_rec(..., 2, 1): lo=2 > hi=1 → return -1 ✓

**Complexity:** O(log N) time, O(log N) space (call stack)."
subjective,markdown,"Given N (array size) and Q (number of queries), determine which total cost is lower: Q linear searches (cost = Q × N) or sort + Q binary searches (cost = N log N + Q × log N). Return ""linear"" or ""binary"".

**Constraints:**
- 1 ≤ N ≤ 10⁹
- 1 ≤ Q ≤ 10⁹
- Use integer arithmetic; treat log N as floor(log2(N))

**Examples:**

**Input:** `N = 1000000`, `Q = 5`
**Output:** `""linear""` (5 × 10⁶ vs 20 × 10⁶ + 5 × 20 = 20000100; linear wins)

**Input:** `N = 1000000`, `Q = 100`
**Output:** `""binary""` (100 × 10⁶ vs 20000000 + 100 × 20 = 20002000; binary wins)

**Expected Complexity:**
- Time: O(log N)
- Space: O(1)",,,,,,,,,,,,,,0.5,markdown,"**Implementation:**
```python
def bs_iter(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = lo + (hi - lo) // 2
        if arr[mid] == target: return mid
        if arr[mid] < target: lo = mid + 1
        else: hi = mid - 1
    return -1

def bs_rec(arr, target, lo, hi, depth=[0]):
    depth[0] += 1
    if lo > hi: return -1
    mid = lo + (hi - lo) // 2
    if arr[mid] == target: return mid
    if arr[mid] < target:
        return bs_rec(arr, target, mid+1, hi, depth)
    return bs_rec(arr, target, lo, mid-1, depth)
```

**Results for test cases:**

arr = list(range(1, 1001)):
- target=500: iter=499, rec=499, depth=10
- target=1001: iter=-1, rec=-1, depth=10

arr=[42]: target=42: iter=0, rec=0, depth=1

**Complexity:**
- Iterative: O(log N) time, O(1) space
- Recursive: O(log N) time, O(log N) space"
subjective,markdown,"Answer the following:

1. You have a dataset of 10 million user records stored in insertion order (unsorted). You receive 50 search queries per day. Is it worth sorting the dataset? Show your cost analysis.

2. An e-commerce platform stores product IDs in the order products were added. New products are added 100 times per day, and the search API receives 10,000 queries per second. Recommend a data structure and strategy. Justify your choice.

3. Describe a scenario where sorting before searching would be incorrect, not just inefficient.

4. A database table has a sorted index on a column. A user deletes a row. How does this affect the cost model for future queries, and what does the database do to maintain sorted order?",,,,,,,,,,,,,,1,markdown,"**1. Three advantages of iterative:**
- O(1) space — no stack growth; memory usage independent of N.
- No risk of stack overflow — even for N=10⁹ (which only needs 30 recursive calls, but theoretically for pathological N).
- Slightly faster — no function call overhead (saving/restoring registers, return address, frame setup). Modern CPUs execute loop iterations faster than function calls.

**2. One advantage of recursive:**
- Clearer mapping to the divide-and-conquer structure — when binary search is a subroutine in a larger recursive algorithm (e.g., merge sort), the recursive form integrates more naturally.

**3. Python's recursion limit:**
Python default limit: 1000. Binary search hits limit when log₂(N) > 1000 → N > 2¹⁰⁰⁰ ≈ 10³⁰¹. No practical array has this many elements. The recursion limit is NOT a concern for binary search in Python.

**4. Tail Call Optimisation (TCO):**
With TCO, the compiler recognises that the recursive call is the LAST operation and reuses the same stack frame instead of creating a new one. Result: the recursive binary search runs with O(1) stack space — identical to iterative. The call stack never grows beyond 1 frame. Languages like Scheme, Haskell, and Scala perform TCO. Python does not.

**5. Call overhead for N=10⁶:**
Binary search does log₂(10⁶) ≈ 20 iterations. Each function call in C++: ~5-10 ns overhead (save registers, jump, restore). 20 calls × 10 ns = 200 ns extra overhead vs iterative. For a search that takes ~100 ns total, this is 2× overhead — potentially significant for tight loops. For a single search per user request, 200 ns is imperceptible. In practice, the JIT compiler or optimizer often eliminates this overhead entirely."
mcsc,markdown,"What does `binary_search([1, 3, 5, 7, 9, 11, 13], 7)` return?",,,,,,1,,3,4,7,-1,,,0,markdown,"Recursive binary search makes one recursive call per iteration, halving the search space each time. The maximum recursion depth equals the maximum number of halvings = log₂(N).

Each frame stores: arr reference, target, lo, hi, mid, return address — a constant amount. So total stack space = O(log N) × O(1) = O(log N)."
mcsc,markdown,"In binary search with lo = 2,000,000,000 and hi = 2,000,000,001, which formula correctly computes mid without overflow?",,,,,,2,,(lo + hi) // 2,lo + (hi - lo) // 2,(lo + hi + 1) // 2,hi - (hi - lo) // 2,,,0,markdown,"In the recursive binary search:
```
IF arr[mid] < target:
    RETURN bs_rec(arr, target, mid+1, hi)   // last operation ← tail call
RETURN bs_rec(arr, target, lo, mid-1)        // last operation ← tail call
```

Both recursive calls are the last thing that happens before the function returns — no computation occurs after the recursive call. This is the definition of tail recursion.

**Option A** is wrong: tail recursion means calling itself once as the last operation.
**Option C** is wrong: Python does not perform TCO. Each call still uses a stack frame.
**Option D** is wrong: tail recursion does not imply O(N) stack. Without TCO, it's O(log N); with TCO, O(1)."
int,markdown,"How many iterations does binary search on arr = [2, 5, 8, 12, 16, 23, 38, 56, 72, 91] (N=10) require to determine that target = 17 is NOT present?",4,,,,,,,,,,,,,0,markdown,"For N = 2³⁰: each recursive call halves the search space. After k calls, N / 2ᵏ elements remain. The base case (lo > hi) is reached when k = log₂(N) = log₂(2³⁰) = 30.

So exactly 30 recursive calls are made in the worst case.

Memory usage: 30 frames × ~100 bytes/frame (Python frame overhead) ≈ 3KB. Completely safe.

Python's default recursion limit is 1000. 30 << 1000 — no risk of hitting the limit for binary search even on the largest practical arrays."
subjective,markdown,"Given a sorted array of distinct integers and a target, return the index of the target if found, or -1 if not present. Implement using iterative binary search.

**Constraints:**
- 1 ≤ len(arr) ≤ 10⁴
- -10⁴ ≤ arr[i], target ≤ 10⁴
- All elements are distinct
- Array is sorted in ascending order

**Examples:**

**Input:** `arr = [-1, 0, 3, 5, 9, 12]`, `target = 9`
**Output:** `4`

**Input:** `arr = [-1, 0, 3, 5, 9, 12]`, `target = 2`
**Output:** `-1`

**Input:** `arr = [5]`, `target = 5`
**Output:** `0`

**Expected Complexity:**
- Time: O(log N)
- Space: O(1)",,,,,,,,,,,,,,0.5,markdown,"**Algorithm:**
```
FUNCTION bs_rec(arr, target, lo, hi):
    IF lo > hi: RETURN -1                    // base case: empty window
    mid ← lo + (hi - lo) // 2
    IF arr[mid] == target: RETURN mid
    IF arr[mid] < target:
        RETURN bs_rec(arr, target, mid+1, hi)
    RETURN bs_rec(arr, target, lo, mid-1)
```

Call with: `bs_rec(arr, target, 0, len(arr)-1)`

**Trace on [2,4,6,8,10], target=6:**
- bs_rec(..., 0, 4): mid=2, arr[2]=6 == 6 → return 2 ✓

**Trace on [2,4,6,8,10], target=5:**
- bs_rec(..., 0, 4): mid=2, arr[2]=6 > 5 → bs_rec(..., 0, 1)
- bs_rec(..., 0, 1): mid=0, arr[0]=2 < 5 → bs_rec(..., 1, 1)
- bs_rec(..., 1, 1): mid=1, arr[1]=4 < 5 → bs_rec(..., 2, 1)
- bs_rec(..., 2, 1): lo=2 > hi=1 → return -1 ✓

**Complexity:** O(log N) time, O(log N) space (call stack)."
