questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"### **Q1. What is meant by “isolated development” when using Git branches?**

(Answer in 2–3 lines.)",,,,,,,,,,,,,,,markdown,"Developers often notice that commit hashes change after performing a rebase.


Explain why rebase creates new commit IDs and why this behavior is important.


Think about history rewriting and commit metadata.


Rebase rewrites commit history, which results in new commit hashes.


In **Git**, each commit ID is generated based on its content and its parent commit. During a rebase, commits are replayed on top of a new base, changing their parent references. This causes Git to generate **new commit IDs**. This matters because rewriting history on shared branches can break collaboration, as other developers may already rely on the old commit history.


- Safe only on local or private branches
- Requires force push if already pushed"
subjective,markdown,"### **Q2. Why is branch cleanup considered a best practice in Git?**

(Explain briefly.)",,,,,,,,,,,,,,,markdown,"Teams must choose between merge and rebase when synchronizing branches.


Identify a real-world scenario where rebase is the better choice.


Think about keeping history clean before integration.


Rebase is safer when updating a feature branch with the latest main branch changes.


Rebase is most appropriate when a developer wants to **update their feature branch with the latest changes from `main`** before creating a Pull Request. Rebasing keeps the commit history linear and clean without introducing merge commits. Since the feature branch is typically private at this stage, rewriting history does not affect other collaborators.


- Should not be used on shared branches
- Conflicts may still occur during rebase"
subjective,markdown,"### **Q3. Create a project and work using branches**

**Task:**
Write the Git commands for the following steps:

1. Create a folder named **branch-demo**
2. Initialize a Git repository inside it
3. Create a file **app.txt** and add any text
4. Stage and commit the file with message **""Initial commit on main""**
5. Create a new branch named **feature-update**
6. Switch to the **feature-update** branch
7. Add more text to **app.txt**
8. Stage and commit the changes with message **""Update app.txt in feature branch""**
9. Switch back to **main**",,,,,,,,,,,,,,,markdown,"Feature branches can fall behind the main branch as new commits are added.


Demonstrate how to rebase a feature branch onto main and verify linear history.


Replay feature commits on top of the latest main branch.


Rebasing moves feature commits on top of the latest main branch.


```bash
mkdir rebase-demo
cd rebase-demo
git init

echo ""Initial content"" > app.txt
git add app.txt
git commit -m ""Initial commit on main""

git switch -c feature-login
echo ""Login feature work"" >> app.txt
git add app.txt
git commit -m ""Add login feature""

git switch main
echo ""Main branch update"" >> app.txt
git add app.txt
git commit -m ""Update app on main""

git switch feature-login
git rebase main
git log --oneline --graph
```

After rebasing, the feature branch commits appear **after** the latest main commit, creating a clean, linear history.


- Conflicts may arise if files overlap
- Commit hashes will change after rebase"
subjective,markdown,"### **Q4. Merge a feature branch and clean it up**

**Task:**
Continuing from the previous question, write the Git commands to:

1. Merge **feature-update** into **main**
2. Delete the **feature-update** branch after successful merge
3. Verify that the branch has been deleted

_(Assume there are no merge conflicts.)_",,,,,,,,,,,,,,,markdown,"Conflicts can occur when rebasing branches that modify the same lines.


Demonstrate how to resolve or abort a rebase safely.


Use rebase control commands to proceed or stop.


Rebase conflicts require manual resolution before continuing.


```bash
git switch -c feature-ui
echo ""UI change"" >> app.txt
git add app.txt
git commit -m ""Update UI""

git switch main
echo ""Conflicting main change"" >> app.txt
git add app.txt
git commit -m ""Main conflicting change""

git switch feature-ui
git rebase main

git add app.txt
git rebase --continue

git rebase --abort
```

During conflict resolution, conflict markers must be removed and the correct content finalized before continuing the rebase.


- Forgetting `git rebase --continue` will pause the process
- Aborting restores branch to pre-rebase state"
subjective,markdown,"### **Q1. What is a remote repository, and why is it important for team collaboration?**

(Answer in 3–4 lines.)

_Expected focus:_
Shared source of truth, synchronization, collaboration, backup.",,,,,,,,,,,,,,,markdown,"Developers often notice that commit hashes change after performing a rebase.


Explain why rebase creates new commit IDs and why this behavior is important.


Think about history rewriting and commit metadata.


Rebase rewrites commit history, which results in new commit hashes.


In **Git**, each commit ID is generated based on its content and its parent commit. During a rebase, commits are replayed on top of a new base, changing their parent references. This causes Git to generate **new commit IDs**. This matters because rewriting history on shared branches can break collaboration, as other developers may already rely on the old commit history.


- Safe only on local or private branches
- Requires force push if already pushed"
subjective,markdown,"### **Q2. Explain how local and remote repositories work together in Git.**

(Include the role of commit, push, and pull.)

_Expected focus:_
Local-first workflow, explicit sharing, controlled synchronization.",,,,,,,,,,,,,,,markdown,"Teams must choose between merge and rebase when synchronizing branches.


Identify a real-world scenario where rebase is the better choice.


Think about keeping history clean before integration.


Rebase is safer when updating a feature branch with the latest main branch changes.


Rebase is most appropriate when a developer wants to **update their feature branch with the latest changes from `main`** before creating a Pull Request. Rebasing keeps the commit history linear and clean without introducing merge commits. Since the feature branch is typically private at this stage, rewriting history does not affect other collaborators.


- Should not be used on shared branches
- Conflicts may still occur during rebase"
subjective,markdown,"### \*\*Q3. A developer says: “I committed my changes, so my teammates can see them.”

Is this statement correct? Justify your answer.\*\*

_Expected focus:_
Difference between local commits and pushing to remote.",,,,,,,,,,,,,,,markdown,"Feature branches can fall behind the main branch as new commits are added.


Demonstrate how to rebase a feature branch onto main and verify linear history.


Replay feature commits on top of the latest main branch.


Rebasing moves feature commits on top of the latest main branch.


```bash
mkdir rebase-demo
cd rebase-demo
git init

echo ""Initial content"" > app.txt
git add app.txt
git commit -m ""Initial commit on main""

git switch -c feature-login
echo ""Login feature work"" >> app.txt
git add app.txt
git commit -m ""Add login feature""

git switch main
echo ""Main branch update"" >> app.txt
git add app.txt
git commit -m ""Update app on main""

git switch feature-login
git rebase main
git log --oneline --graph
```

After rebasing, the feature branch commits appear **after** the latest main commit, creating a clean, linear history.


- Conflicts may arise if files overlap
- Commit hashes will change after rebase"
subjective,markdown,"### **Q4. Describe a typical end-to-end collaboration flow starting from a remote repository to merging changes back.**

(List the steps in order.)

_Expected focus:_
Remote repo → clone/fork → local work → push → pull request → review → merge → sync.",,,,,,,,,,,,,,,markdown,"Conflicts can occur when rebasing branches that modify the same lines.


Demonstrate how to resolve or abort a rebase safely.


Use rebase control commands to proceed or stop.


Rebase conflicts require manual resolution before continuing.


```bash
git switch -c feature-ui
echo ""UI change"" >> app.txt
git add app.txt
git commit -m ""Update UI""

git switch main
echo ""Conflicting main change"" >> app.txt
git add app.txt
git commit -m ""Main conflicting change""

git switch feature-ui
git rebase main

git add app.txt
git rebase --continue

git rebase --abort
```

During conflict resolution, conflict markers must be removed and the correct content finalized before continuing the rebase.


- Forgetting `git rebase --continue` will pause the process
- Aborting restores branch to pre-rebase state"
subjective,markdown,"### **Q1. What is the purpose of setting an upstream branch using `git push -u`?**

(Answer in 2–3 lines.)",,,,,,,,,,,,,,,markdown,"Developers often notice that commit hashes change after performing a rebase.


Explain why rebase creates new commit IDs and why this behavior is important.


Think about history rewriting and commit metadata.


Rebase rewrites commit history, which results in new commit hashes.


In **Git**, each commit ID is generated based on its content and its parent commit. During a rebase, commits are replayed on top of a new base, changing their parent references. This causes Git to generate **new commit IDs**. This matters because rewriting history on shared branches can break collaboration, as other developers may already rely on the old commit history.


- Safe only on local or private branches
- Requires force push if already pushed"
subjective,markdown,"### **Q2. Explain the difference between `git fetch` and `git pull`. Why is `fetch` considered safer?**

(Answer briefly.)",,,,,,,,,,,,,,,markdown,"Teams must choose between merge and rebase when synchronizing branches.


Identify a real-world scenario where rebase is the better choice.


Think about keeping history clean before integration.


Rebase is safer when updating a feature branch with the latest main branch changes.


Rebase is most appropriate when a developer wants to **update their feature branch with the latest changes from `main`** before creating a Pull Request. Rebasing keeps the commit history linear and clean without introducing merge commits. Since the feature branch is typically private at this stage, rewriting history does not affect other collaborators.


- Should not be used on shared branches
- Conflicts may still occur during rebase"
