questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
subjective,markdown,"### **Count to 10**

Write a while loop that prints numbers from 1 to 10.

**Expected Output:**
1
2
3
4
5
6
7
8
9
10

**Hint:** Initialize count = 1, loop while count <= 10, increment count each time.",,,,,,,,,,,,,,,markdown,"**Problem:** Write a program that finds and prints the first even number from a list, then stops.

**Solution:**
```python
numbers = [1, 3, 5, 8, 9, 11]

for num in numbers:
    if num % 2 == 0:
        print(f""Found: {num}"")
        break
```

**Output:**
Found: 8

**Explanation:**
- Loop through each number in the list
- Check if the number is even using `num % 2 == 0`
- When we find the first even number (8), print it and use `break` to exit the loop
- Break immediately stops the loop execution, so we don't check 9 or 11

**Key Concept:** Break exits the loop as soon as the condition is met, useful for search operations."
subjective,markdown,"### **Countdown from 5**

Write a program that counts down from 5 to 1, then prints ""Blast off!""

**Expected Output:**
5
4
3
2
1
Blast off!

**Hint:** Start at 5, loop while > 0, decrement each iteration.",,,,,,,,,,,,,,,markdown,"**Problem:** Print only even numbers from 1 to 10 using continue to skip odd numbers.

**Solution:**
```python
for num in range(1, 11):
    if num % 2 != 0:
        continue
    print(num)
```

**Output:**
2
4
6
8
10

**Explanation:**
- Loop through numbers 1 to 10
- If number is odd (`num % 2 != 0`), use `continue` to skip to next iteration
- Continue skips the print statement for odd numbers
- Only even numbers reach the print statement

**Alternative Solution:**
```python
for num in range(1, 11):
    if num % 2 == 0:
        print(num)
```

**Key Concept:** Continue skips the current iteration and moves to the next one, useful for filtering."
subjective,markdown,"### **Sum Numbers Until 0**

Write a program that keeps asking for numbers and sums them. Stop when user enters 0.

**Example Interaction:**
Enter a number (0 to stop): 10
Enter a number (0 to stop): 20
Enter a number (0 to stop): 15
Enter a number (0 to stop): 0
Total: 45

**Hint:** Use sentinel value 0. Priming read before loop, read again at end of loop.",,,,,,,,,,,,,,,markdown,"**Problem:** Search for ""Alice"" in a list of names and print ""Found!"" when you find it.

**Solution:**
```python
names = [""Bob"", ""Charlie"", ""Alice"", ""David""]

for name in names:
    print(f""Checking {name}"")
    if name == ""Alice"":
        print(""Found!"")
        break
```

**Output:**
Checking Bob
Checking Charlie
Checking Alice
Found!

**Explanation:**
- Loop through each name in the list
- Print ""Checking"" message for each name
- When we find ""Alice"", print ""Found!"" and break
- David is never checked because break exits the loop

**Key Concept:** Break is useful for early exit when you've found what you're looking for."
subjective,markdown,"### **Password Validator**

Create a login system with maximum 3 attempts. Password is ""python123"". After 3 failed attempts, deny access.

**Example Output (correct on 2nd try):**
Enter password: wrong
Incorrect password
Enter password: python123
Access granted

**Hint:** Track attempts with counter, loop while password wrong AND attempts < max.",,,,,,,,,,,,,,,markdown,"**Problem:** Print only positive numbers from a list, skipping negative ones.

**Solution:**
```python
numbers = [5, -2, 8, -7, 3, -1, 9]

for num in numbers:
    if num < 0:
        continue
    print(num)
```

**Output:**
5
8
3
9

**Explanation:**
- Loop through all numbers
- If number is negative (`num < 0`), use continue to skip it
- Only positive numbers get printed
- Continue acts as a filter, skipping unwanted values

**Key Concept:** Continue is perfect for filtering out unwanted values while processing the rest."
subjective,markdown,"### **Find First Multiple of 7**

Write a program that finds and prints the first positive integer that is a multiple of 7.

**Expected Output:**
First multiple of 7: 7

**Hint:** Start at 1, loop while `number % 7 != 0`, increment number.",,,,,,,,,,,,,,,markdown,"**Problem:** Find the first vowel in a string and print its position.

**Solution:**
```python
text = ""Python""
vowels = ""aeiouAEIOU""

for index, char in enumerate(text):
    if char in vowels:
        print(f""First vowel: {char} at position {index}"")
        break
```

**Output:**
First vowel: o at position 4

**Explanation:**
- Use `enumerate()` to get both index and character
- Check if character is in vowels string
- When found, print the vowel and its position, then break
- Position 4 means it's the 5th character (0-indexed)

**Key Concept:** Enumerate provides index-value pairs, useful for position-based searches."
subjective,markdown,"### **Guess the Number**

Create a number guessing game. Secret number is 42. Keep asking until user guesses correctly, providing ""Too high"" or ""Too low"" hints.

**Example Interaction:**
Guess the number: 50
Too high!
Guess again: 30
Too low!
Guess again: 42
Correct! You guessed it!

**Hint:** Loop while guess != secret, provide feedback inside loop.",,,,,,,,,,,,,,,markdown,"**Problem:** Calculate sum of numbers until you encounter a negative number.

**Solution:**
```python
numbers = [5, 10, 15, -3, 20, 25]
total = 0

for num in numbers:
    if num < 0:
        break
    total += num

print(f""Sum: {total}"")
```

**Output:**
Sum: 30

**Explanation:**
- Initialize total to 0
- Loop through numbers, adding each to total
- When we encounter -3 (first negative), break immediately
- Total = 5 + 10 + 15 = 30
- Numbers after -3 are never processed

**Key Concept:** Break can stop processing based on a condition, even mid-collection."
subjective,markdown,"### **Double Until Exceeds 1000**

Start with value = 1. Keep doubling it until it exceeds 1000. Print each value and count iterations.

**Expected Output:**
Iteration 0: 1
Iteration 1: 2
Iteration 2: 4
Iteration 3: 8
Iteration 4: 16
Iteration 5: 32
Iteration 6: 64
Iteration 7: 128
Iteration 8: 256
Iteration 9: 512
Final value: 1024
Total iterations: 10

**Hint:** Loop while value <= 1000, multiply value by 2 each time, track iterations.",,,,,,,,,,,,,,,markdown,"**Problem:** Print numbers 1 to 20, but skip multiples of 3.

**Solution:**
```python
for num in range(1, 21):
    if num % 3 == 0:
        continue
    print(num, end=' ')
```

**Output:**
1 2 4 5 7 8 10 11 13 14 16 17 19 20

**Explanation:**
- Loop through 1 to 20
- Check if number is divisible by 3 (`num % 3 == 0`)
- If yes, continue skips the print statement
- Multiples of 3 (3, 6, 9, 12, 15, 18) are skipped
- All other numbers are printed

**Key Concept:** Continue can filter based on mathematical conditions."
subjective,markdown,"### **Factorial Calculator**

Calculate factorial of 5 (5! = 5 × 4 × 3 × 2 × 1) using a while loop.

**Expected Output:**
5! = 120

**Hint:** factorial = 1, i = 1, loop while i <= n, multiply factorial by i.",,,,,,,,,,,,,,,markdown,"**Problem:** Search for the number 7 in range 1 to 10. Print all numbers until you find 7.

**Solution:**
```python
for i in range(1, 11):
    print(i, end=' ')
    if i == 7:
        print(""\nFound target!"")
        break
```

**Output:**
1 2 3 4 5 6 7
Found target!

**Explanation:**
- Loop through range 1 to 10
- Print each number
- When we reach 7, print success message and break
- Numbers 8, 9, 10 are never processed

**Key Concept:** You can perform actions before breaking from a loop."
subjective,markdown,"### **Fibonacci Sequence**

Generate and print the first 10 Fibonacci numbers (0, 1, 1, 2, 3, 5, 8, 13, 21, 34).

**Expected Output:**
First 10 Fibonacci numbers:
0 1 1 2 3 5 8 13 21 34

**Hint:** Use two variables (a, b), simultaneous assignment: `a, b = b, a + b`.",,,,,,,,,,,,,,,markdown,"**Problem:** Check if a password has at least 8 characters. Stop checking after finding the first valid password.

**Solution:**
```python
passwords = [""abc"", ""pass123"", ""SecurePassword"", ""123""]

for password in passwords:
    print(f""Checking: {password}"")
    if len(password) >= 8:
        print(""Valid password found!"")
        break
```

**Output:**
Checking: abc
Checking: pass123
Checking: SecurePassword
Valid password found!

**Explanation:**
- Loop through each password
- Print which password we're checking
- Check if length is at least 8 characters
- ""SecurePassword"" has 14 characters, so it's valid
- Break immediately, ""123"" is never checked

**Key Concept:** Break saves processing time by stopping once requirement is met."
subjective,markdown,"### **Input Validation**

Ask user for age. Keep asking until they enter a valid age (0-120).

**Example Interaction:**
Enter your age (0-120): 150
Invalid age! Must be between 0 and 120
Enter your age (0-120): -5
Invalid age! Must be between 0 and 120
Enter your age (0-120): 25
Valid age entered: 25

**Hint:** Priming read, loop while invalid (age < 0 or age > 120).",,,,,,,,,,,,,,,markdown,"**Problem:** Print each character in a string except spaces.

**Solution:**
```python
text = ""Hello World""

for char in text:
    if char == "" "":
        continue
    print(char, end=' ')
```

**Output:**
H e l l o W o r l d

**Explanation:**
- Loop through each character in the string
- If character is a space, continue skips it
- All other characters are printed
- Space between ""Hello"" and ""World"" is skipped

**Key Concept:** Continue is useful for filtering specific characters from strings."
